iteration_num,svm,decision_trees,neural_net,,,,,,,,
0,0.48,0.4642857143,0.4642857143,,,AVG,STD,,T.Test,,
1,0.1739130435,0.125,0.125,,SVM,0.2917152803,0.1226612083,,0.0018284188,<- SVM v. DT,
2,0.3243243243,0.3673469388,0.3673469388,,DCT,0.3046487603,0.1104484528,,0.0653153441,<- DT v. NN,
3,0.4705882353,0.4666666667,0.4666666667,,NN,0.305517493,0.1068653667,,,,
4,0.2857142857,0.2666666667,0.2666666667,,,,,,,,
5,0.2941176471,0.2978723404,0.2978723404,,,,,,,,
6,0.5862068966,0.5070422535,0.48,,,,,,,,
7,0.4705882353,0.3902439024,0.3902439024,,,,,,,,
8,0.3125,0.3829787234,0.3829787234,,,,,,Two-tailed test,,
9,0.3636363636,0.2857142857,0.3265306122,,,,,,allowable percentage of error,,0.05
10,0.2941176471,0.3636363636,0.3571428571,,,,,,Ho = no difference between the performance,,
11,0.4615384615,0.4705882353,0.4705882353,,,,,,H1 = significant difference,,
12,0.3684210526,0.5384615385,0.5283018868,,,,,,,,
13,0.16,0.2857142857,0.3043478261,,,,,,,,
14,0.2105263158,0.2857142857,0.2857142857,,,,,,,,
15,0.3125,0.2222222222,0.2173913043,,,,,,,,
16,0.5,0.3902439024,0.380952381,,,,,,,,
17,0.1212121212,0.1428571429,0.1333333333,,,,,,,,
18,0.4,0.4680851064,0.4680851064,,,,,,,,
19,0.125,0.25,0.2272727273,,,,,,,,
20,0.275862069,0.3333333333,0.3333333333,,,,,,,,
21,0.0740740741,0.0930232558,0.0930232558,,,,,,,,
22,0.35,0.375,0.36,,,,,,,,
23,0.3571428571,0.2777777778,0.2777777778,,,,,,,,
24,0.2068965517,0.1621621622,0.1621621622,,,,,,,,
25,0.3225806452,0.3076923077,0.3333333333,,,,,,,,
26,0.2857142857,0.2666666667,0.2666666667,,,,,,,,
27,0.3921568627,0.3789473684,0.3789473684,,,,,,,,
28,0.0869565217,0.1904761905,0.2272727273,,,,,,,,
29,0.2285714286,0.2105263158,0.2105263158,,,,,,,,
30,0.2307692308,0.2941176471,0.3157894737,,,,,,,,
31,0.3,0.2222222222,0.2162162162,,,,,,,,
32,0.3888888889,0.2909090909,0.2909090909,,,,,,,,
33,0.25,0.3265306122,0.32,,,,,,,,
34,0.3846153846,0.2857142857,0.2777777778,,,,,,,,
35,0.4,0.5833333333,0.5384615385,,,,,,,,
36,0.487804878,0.375,0.375,,,,,,,,
37,0.2666666667,0.1632653061,0.1632653061,,,,,,,,
38,0.4615384615,0.4,0.4,,,,,,,,
39,0.3529411765,0.2666666667,0.2666666667,,,,,,,,
40,0.1818181818,0.2857142857,0.2857142857,,,,,,,,
41,0.32,0.2083333333,0.1923076923,,,,,,,,
42,0.24,0.2424242424,0.2424242424,,,,,,,,
43,0.35,0.2686567164,0.2432432432,,,,,,,,
44,0.1904761905,0.2352941176,0.2222222222,,,,,,,,
45,0.5,0.4,0.3888888889,,,,,,,,
46,0.3076923077,0.2702702703,0.2702702703,,,,,,,,
47,0.1176470588,0.2608695652,0.2553191489,,,,,,,,
48,0.0769230769,0.1363636364,0.1333333333,,,,,,,,
49,0.3636363636,0.3870967742,0.3636363636,,,,,,,,
50,0.2051282051,0.3461538462,0.3461538462,,,,,,,,
51,0.2285714286,0.3606557377,0.3606557377,,,,,,,,
52,0.1875,0.1666666667,0.1666666667,,,,,,,,
53,0.45,0.2962962963,0.2962962963,,,,,,,,
54,0.2727272727,0.275862069,0.25,,,,,,,,
55,0.3846153846,0.4444444444,0.4166666667,,,,,,,,
56,0.4166666667,0.3870967742,0.3636363636,,,,,,,,
57,0.4848484848,0.4444444444,0.4444444444,,,,,,,,
58,0.32,0.1454545455,0.1379310345,,,,,,,,
59,0.2307692308,0.3157894737,0.3157894737,,,,,,,,
60,0.2222222222,0.2352941176,0.2352941176,,,,,,,,
61,0.5294117647,0.3582089552,0.3768115942,,,,,,,,
62,0.24,0.25,0.25,,,,,,,,
63,0.2083333333,0.3666666667,0.3666666667,,,,,,,,
64,0.1379310345,0.2127659574,0.2448979592,,,,,,,,
65,0.303030303,0.2142857143,0.2068965517,,,,,,,,
66,0.2,0.3225806452,0.2739726027,,,,,,,,
67,0.16,0.1621621622,0.1538461538,,,,,,,,
68,0.4583333333,0.2692307692,0.2692307692,,,,,,,,
69,0.2222222222,0.16,0.16,,,,,,,,
70,0.2608695652,0.1764705882,0.1578947368,,,,,,,,
71,0.4,0.375,0.375,,,,,,,,
72,0.2790697674,0.4285714286,0.4507042254,,,,,,,,
73,0.4545454545,0.4516129032,0.4242424242,,,,,,,,
74,0.3076923077,0.2162162162,0.25,,,,,,,,
75,0.08,0.2285714286,0.2051282051,,,,,,,,
76,0.2857142857,0.4102564103,0.4102564103,,,,,,,,
77,0.1935483871,0.2857142857,0.3265306122,,,,,,,,
78,0.125,0.3333333333,0.3333333333,,,,,,,,
79,0.4545454545,0.3125,0.3125,,,,,,,,
80,0.5,0.5172413793,0.5084745763,,,,,,,,
81,0.0714285714,0.0816326531,0.1481481481,,,,,,,,
82,0.3846153846,0.4,0.3902439024,,,,,,,,
83,0.4242424242,0.28,0.2641509434,,,,,,,,
84,0.4242424242,0.6222222222,0.5833333333,,,,,,,,
85,0,0.1428571429,0.1379310345,,,,,,,,
86,0,0.2307692308,0.2264150943,,,,,,,,
87,0.32,0.2777777778,0.2777777778,,,,,,,,
88,0.3243243243,0.406779661,0.393442623,,,,,,,,
89,0.3333333333,0.3636363636,0.3555555556,,,,,,,,
90,0.2352941176,0.1777777778,0.170212766,,,,,,,,
91,0.3157894737,0.6428571429,0.6315789474,,,,,,,,
92,0.1333333333,0.1,0.0952380952,,,,,,,,
93,0.2424242424,0.4074074074,0.4074074074,,,,,,,,
94,0.4615384615,0.3076923077,0.3720930233,,,,,,,,
95,0.2777777778,0.3859649123,0.3793103448,,,,,,,,
96,0.1176470588,0.1739130435,0.170212766,,,,,,,,
97,0.2222222222,0.347826087,0.4,,,,,,,,
98,0.6666666667,0.5882352941,0.5714285714,,,,,,,,
99,0.2962962963,0.3928571429,0.3793103448,,,,,,,,
100,0.4545454545,0.3125,0.3125,,,,,,,,
101,0.1739130435,0.1935483871,0.1875,,,,,,,,
102,0.0512820513,0.04,0.04,,,,,,,,
103,0.3333333333,0.24,0.2307692308,,,,,,,,
104,0.2424242424,0.4166666667,0.4081632653,,,,,,,,
105,0.1935483871,0.375,0.3692307692,,,,,,,,
106,0.2222222222,0.1578947368,0.1538461538,,,,,,,,
107,0.2352941176,0.2608695652,0.2307692308,,,,,,,,
108,0.487804878,0.5084745763,0.4838709677,,,,,,,,
109,0.3076923077,0.2040816327,0.2,,,,,,,,
110,0.4166666667,0.3414634146,0.3333333333,,,,,,,,
111,0.1290322581,0.4,0.4,,,,,,,,
112,0.1333333333,0.1578947368,0.1538461538,,,,,,,,
113,0.2727272727,0.2962962963,0.3428571429,,,,,,,,
114,0.3846153846,0.303030303,0.303030303,,,,,,,,
115,0.1333333333,0.2448979592,0.24,,,,,,,,
116,0.5263157895,0.52,0.5098039216,,,,,,,,
117,0.5405405405,0.5573770492,0.5396825397,,,,,,,,
